CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,ADDRESS,CITY,STATE,POSTAL_CODE,COUNTRY,CREATED_AT
1,Danielle,Johnson,danielle.johnson.1@example.com,533-521-8196x001,386 Shane Harbors,Port Lindachester,MA,36922,USA,2023-12-18 06:51:09
2,Jason,Gallagher,jason.gallagher.2@example.com,916-315-5940,84959 Janet Cape Apt. 413,South Joshuastad,GA,49021,USA,2024-05-21 11:13:50
3,Jason,Adams,jason.adams.3@example.com,+1-519-228-3276x48350,4139 Lewis Parks Suite 724,East Julie,ND,34939,USA,2025-03-21 17:51:05
4,Brenda,Hurst,brenda.hurst.4@example.com,(353)828-7101x2269,784 Erin Crescent Suite 514,Mooretown,VA,94830,USA,2024-03-11 02:25:56
5,Teresa,Gill,teresa.gill.5@example.com,914.289.3252x88095,4303 Christopher Oval,Port Amandaberg,DC,86975,USA,2024-08-22 16:24:37
6,Stacey,Martin,stacey.martin.6@example.com,596.338.3465x78713,98393 Chad Roads Apt. 310,Chadbury,KY,88185,USA,2024-08-30 13:17:12
7,Jason,Anderson,jason.anderson.7@example.com,001-897-737-6311,7010 Chandler Union Apt. 333,Taylorburgh,KY,61138,USA,2024-02-29 13:14:03
8,Nancy,Jones,nancy.jones.8@example.com,+1-910-980-1326,0260 Baker Tunnel,Mitchellside,TN,94664,USA,2024-08-31 12:43:02
9,Eric,Phillips,eric.phillips.9@example.com,4982050097,19136 Shelly Port,New Brooke,RI,11246,USA,2024-07-10 03:25:24
10,Diane,Cunningham,diane.cunningham.10@example.com,343-353-4624x75107,425 Natasha Land,Ericside,VT,40152,USA,2024-12-06 15:00:16
11,Tonya,Roman,tonya.roman.11@example.com,508.741.2411x82449,487 Whitehead Vista,North Cynthiaview,AZ,00965,USA,2024-05-04 14:26:57
12,Kellie,Walsh,kellie.walsh.12@example.com,727-486-8011x280,04505 Evelyn Shores Apt. 586,East Michelle,AS,23707,USA,2025-07-04 03:17:37
13,Robert,White,robert.white.13@example.com,563-542-1607x33754,365 Lin Trail,Michaelhaven,MO,89566,USA,2025-06-04 19:29:19
14,Amanda,Crosby,amanda.crosby.14@example.com,742-794-0196,816 Jonathan Station Suite 088,West Ryan,TN,43780,USA,2024-12-15 12:57:48
15,Lee,Charles,lee.charles.15@example.com,001-448-646-5648x2366,044 Russell Prairie Suite 777,New Thomas,MH,96964,USA,2023-12-29 07:46:53
16,Donna,Campbell,donna.campbell.16@example.com,+1-395-913-4332x00379,936 Ross Drive Apt. 163,Port Susan,NC,61390,USA,2023-09-27 12:38:35
17,Angela,Lowery,angela.lowery.17@example.com,872-978-8957,774 Mary Harbor,Simsview,NV,10656,USA,2025-02-23 17:56:42
18,Justin,Nelson,justin.nelson.18@example.com,981-822-3623x16658,66909 Woods Knoll,Karenchester,ND,98479,USA,2025-03-12 03:04:34
19,Amy,Morrison,amy.morrison.19@example.com,873.446.7065,98069 Christopher Meadow Apt. 720,Nicholasborough,NH,43341,USA,2024-05-07 15:58:15
20,Kathleen,Gray,kathleen.gray.20@example.com,001-564-217-0805x31003,27193 Lyons Trafficway,Garyville,WI,21966,USA,2024-04-17 02:41:25
21,Daniel,Johnson,daniel.johnson.21@example.com,296-763-1931x4919,518 Smith Manor Suite 165,Zimmermanchester,HI,96681,USA,2024-09-27 18:34:08
22,Tammy,Nelson,tammy.nelson.22@example.com,+1-677-969-4531,9965 Troy Islands,South Jason,AS,34363,USA,2024-05-09 20:52:50
23,Joshua,Carlson,joshua.carlson.23@example.com,980-983-1367x837,43634 Kennedy Pines,Ronaldside,MA,46613,USA,2025-02-15 10:40:13
24,Shawn,Parker,shawn.parker.24@example.com,913.651.8233,34352 Smith Place Apt. 400,Heidiberg,SC,99170,USA,2024-09-03 19:08:48
25,Curtis,Smith,curtis.smith.25@example.com,377-275-2047x1167,94131 Obrien Turnpike,Port Alexandra,NV,58529,USA,2024-04-06 11:34:07
26,Michelle,Branch,michelle.branch.26@example.com,399-409-1334x1232,7974 Jesse Squares,Jacquelinemouth,CA,90597,USA,2024-02-16 19:50:23
27,Sandra,French,sandra.french.27@example.com,+1-693-661-8324x2102,74648 Kim Rapid Apt. 659,Anthonybury,TX,75893,USA,2024-11-17 13:16:09
28,Stephanie,Key,stephanie.key.28@example.com,+1-949-702-7874x29671,5125 Steele Heights Suite 807,West Johnnyville,WI,53477,USA,2025-06-21 07:36:23
29,Xavier,Travis,xavier.travis.29@example.com,+1-487-660-3859x77034,710 Jennifer Inlet Apt. 861,Port Robin,NH,15897,USA,2025-01-03 14:41:18
30,Marilyn,Jimenez,marilyn.jimenez.30@example.com,001-548-446-7737x826,6584 Justin Hills,Grimesmouth,ND,63984,USA,2024-05-13 14:04:52
31,Martin,Hines,martin.hines.31@example.com,(875)433-9636x0576,28951 Garcia Motorway Apt. 262,South Kimberlyview,MA,82192,USA,2025-02-07 13:27:15
32,Raymond,Miller,raymond.miller.32@example.com,386-357-8091x34316,40050 Howard Meadows Apt. 386,East Gregory,RI,50641,USA,2024-12-12 20:44:35
33,Felicia,Jimenez,felicia.jimenez.33@example.com,001-623-474-7407,5946 Bryant Hollow,South Melissa,CT,31592,USA,2024-06-10 17:39:01
34,Ashley,Andrews,ashley.andrews.34@example.com,001-740-564-0909x743,421 Kyle Mill,New Michaelberg,CO,39181,USA,2024-04-29 06:59:26
35,Julie,Thompson,julie.thompson.35@example.com,(685)788-4247,1236 Davis Locks,West Amandamouth,MN,88689,USA,2025-03-23 07:05:34
36,Emily,Richards,emily.richards.36@example.com,+1-651-837-0985x9317,00471 Jimmy Plain,South Shawn,TN,97905,USA,2025-02-10 11:54:26
